,name,nid,price,priceShow,image,location,brandName,sellerId,sellerName,inStock
0,Andormahal Minimalistic MDF made Corner Table,183918002,2374,"৳ 2,374",https://static-01.daraz.com.bd/p/134149f30b6c2eab9b83324f2811cb3b.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
1,Andormahal Minimalistic MDF made Corner Table,183918002,2374,"৳ 2,374",https://static-01.daraz.com.bd/p/134149f30b6c2eab9b83324f2811cb3b.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
2,5 Drawers Plastic Smart Closet,240298682,2850.00,"৳ 2,850",https://static-01.daraz.com.bd/p/247c0f5038e234cde849f10426f66223.jpg,Bangladesh,No Brand,700510062071,Momin Crockeries,True
3,Multi Purpose Wardrobe 4 D,290067206,2380.00,"৳ 2,380",https://static-01.daraz.com.bd/p/3e5279e0342bb085e26998fdef9f9018.png,Bangladesh,No Brand,700528233870,Hamko Store,True
4,Stylish Bed B - 14,113254970,25500.00,"৳ 25,500",https://static-01.daraz.com.bd/p/eb201c544d1706ce570569cc1cb2d399.jpg,Bangladesh,No Brand,1009759,Tradcobd Interior Design,True
5,Andormahal Special MDF Wardrobe,157318342,9499,"৳ 9,499",https://static-01.daraz.com.bd/p/31bfb54aabfbeebf6b02d6412feff1e6.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
6,Portable Almirah Dawn Folding Wardrobe Portable High Quality Febrics Cloth Storage Wardrobe Cloth Storage Organizer,267278980,1580.00,"৳ 1,580",https://static-01.daraz.com.bd/p/af4757106749d99f7099b6f91dba32dd.jpg,Bangladesh,No Brand,700508307256,Eor Shop,True
7,Andormahal Classic (MDF) khat/bed Double Size,183961733,7599,"৳ 7,599",https://static-01.daraz.com.bd/p/6c09ea3f8c8dd4d86a2c85329335b2dc.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
8,Andormahal Classic Wardrobe with Five Drawers made of MDF,188156326,8074,"৳ 8,074",https://static-01.daraz.com.bd/p/9eb5f3016cab62ba922e34802ecfb0fd.jpg,Bangladesh,AndorMahal,700507524315,AndorMahal,True
9,Andormahal  (MDF)  box khat/bed double size(without drawer),157286346,9974,"৳ 9,974",https://static-01.daraz.com.bd/p/fe4b9642922b1487a5bbf6eb2e76fe17.png,Bangladesh,AndorMahal,700507524315,AndorMahal,True
