,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
0,Bouclé Jacket,$49.99 ,,,,H&M,ladies_jacketscoats_jackets,3,New Arrival,https://www2.hm.com/en_us/productpage.1096710009.html
1,Textured-weave Jacket,$74.99 ,,,,H&M,ladies_blazers,3,New Arrival,https://www2.hm.com/en_us/productpage.1088625007.html
2,Bouclé Shacket,$34.99 ,,,,H&M,ladies_shirtsblouses_shirts,1,New Arrival,https://www2.hm.com/en_us/productpage.1126993001.html
3,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1089235007.html
4,Button-front Pants,$24.99 ,,,,H&M,ladies_trousers_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1133068004.html
5,Mini Skirt,$29.99 ,,,,H&M,Ladies_skirts_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1122573004.html
6,Embroidered Sweater,$34.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1138949001.html
7,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_wideleg,5,New Arrival,https://www2.hm.com/en_us/productpage.1124621004.html
8,Cotton Poplin Shirt,$24.99 ,,,,H&M,ladies_shirtsblouses_shirts,5,New Arrival,https://www2.hm.com/en_us/productpage.1126542002.html
9,Textured Bucket Hat,$17.99 ,,,,H&M,ladies_accessories_hats,1,New Arrival,https://www2.hm.com/en_us/productpage.1118624001.html
10,Double-breasted Bouclé Jacket,$59.99 ,,,,H&M,ladies_blazers,1,New Arrival,https://www2.hm.com/en_us/productpage.1121830001.html
11,Double-breasted Coat,$74.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1115460002.html
12,90s Straight High Jeans,$29.99 ,,,,H&M,ladies_jeans_straight,3,New Arrival,https://www2.hm.com/en_us/productpage.1066976021.html
13,Cotton Jersey Top,$17.99 ,,,,H&M,ladies_tops_longsleeve,2,New Arrival,https://www2.hm.com/en_us/productpage.1066903009.html
14,Eyelet Embroidered Blouse,$49.99 ,,,,H&M,ladies_shirtsblouses_blouses,1,New Arrival,https://www2.hm.com/en_us/productpage.1143560001.html
15,Shacket,$59.99 ,,,,H&M,ladies_jacketscoats_jackets,3,New Arrival,https://www2.hm.com/en_us/productpage.1115960003.html
16,Sweater,$17.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,5,New Arrival,https://www2.hm.com/en_us/productpage.1106148023.html
17,Straight Pants,$64.99 ,,,,H&M,ladies_trousers,1,New Arrival,https://www2.hm.com/en_us/productpage.1142268001.html
18,Shirt Dress,$29.99 ,,,,H&M,ladies_dresses_longsleevedress,1,New Arrival,https://www2.hm.com/en_us/productpage.1135076001.html
19,Oversized Tie-detail Shirt,$49.99 ,,,,H&M,ladies_shirtsblouses_shirts,1,New Arrival,https://www2.hm.com/en_us/productpage.1145092001.html
20,Quilted Jacket,$49.99 ,,,,H&M,ladies_divided_jacketscoats,2,New Arrival,https://www2.hm.com/en_us/productpage.1132967002.html
21,Puff-sleeved denim shirt dress,$49.99 ,,,,H&M,ladies_dresses_puffsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1130464001.html
22,Long-sleeved Bodysuit,$14.99 ,,,,H&M,ladies_tops_bodys,4,New Arrival,https://www2.hm.com/en_us/productpage.1123802010.html
23,Tie-belt Dress,$34.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1145644001.html
24,Wide-leg Jersey Pants,$19.99 ,,,,H&M,ladies_trousers,2,New Arrival,https://www2.hm.com/en_us/productpage.1123648003.html
25,Tie-detail Crêped Dress,$39.99 ,,,,H&M,ladies_dresses_maxidresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1145278001.html
26,Twill Shacket,$39.99 ,,,,H&M,ladies_jacketscoats_jackets,1,New Arrival,https://www2.hm.com/en_us/productpage.1130075001.html
