,name,brand,mrpDecimal,salePriceDecimal,ratingDetails
0,Sebamed Baby Gentle Wash 400ml|ph 5.5| With Allantoin| No Tears Formula |clinically Tested,SEBAMED,870,774.3,"{'value': 4.7115384615385, 'count': 52}"
1,Sebamed Baby Powder 200g |with Olive Oil And Allantoin| For Delicate Skin,SEBAMED,666,586.08,"{'value': 4.2777777777778, 'count': 18}"
2,Dabur Lal Tail - 500 Ml,DABUR,445,436.1,"{'value': 4.7142857142857, 'count': 14}"
3,Sebamed Baby Shampoo 50ml|ph 5.5| Camomile|natural|no Tears Formula|for Delicate Scalp,SEBAMED,192,168.96,"{'value': 4.4166666666667, 'count': 12}"
4,Zerolac Powder 400gm,ZEROLAC,555,555,"{'value': 4.55, 'count': 40}"
5,Nestle Lactogrow Nutritious Milk Drink- 400g (biscuity And Vanilla Flavour),NESTLE,360,349.2,"{'value': 4.8181818181818, 'count': 11}"
6,Cetaphil Baby Massage Oil - 200ml,CETAPHIL,585,473.85,"{'value': 4.8571428571429, 'count': 7}"
7,Luvlap Silicone Nipple Protector / Shield For Breast Feeding Mothers With Storage Case,LUVLAP,219,219,"{'value': 3.25, 'count': 4}"
8,Dabur Baby Lotion 500ml,DABUR,375,348.75,"{'value': 4, 'count': 5}"
9,Beebaby 3 In 1 Weaning Silicone Spoon Set With Dual End Spoon For Feeding Newborn / Baby (blue),BEEBABY,249,114.54,
10,Fisher Price Ultra Care Regular Neck Feeding Bottle 120ml Purple,FISHER PRICE,235,235,
11,Tynor L-03 Abdominal Belt Size Small,TYNOR,570,484.5,
12,Beebaby Comfort Standard Neck Baby Feeding Bottle With Anti-colic Silicone Nipple 240 Ml - Pink,BEEBABY,219,219,"{'value': 3, 'count': 3}"
13,Sandpuppy Backbrace M - Flexible Back Support Belt |lumbar Support Belt |stabilizes Back,SANDPUPPY,1499,524.65,
14,Fisher Price Silicone Bottle Brush Set For Baby Feeding Bottle And Nipple Pink,FISHER PRICE,585,585,
15,Super Cutes Wonderthinz Diaper-29 Pieces Medium,SUPER CUTES,399,319.2,
16,Tynor A 03 Abdominal Support 8 Inch Size Xxl,TYNOR,800,424,
17,Basic - Freesize Reusable Pocket Cloth Diaper For Babies-with Dry Feel Insert - Swooshes,SUPERBOTTOMS,799,351.56,
18,Mustela Foam Shampoo For Newborn 150 Ml + Hydra Bebe Facial Cream 40ml,MUSTELA,1490,625.8,
19,"Arcatron Mobility 2000 Rollover Commode Wheelchair, Removable Armrest, Locking Wheels|capacity 150kg",ARCATRON MOBILITY,15999,11359.29,
20,Luvlap Instadry Extra Absorbent Dry Sheetbed Protector - Navy Blue0m Large 100x140cm,LUVLAP,549,378.81,
21,"Arcatron Mobility Foldable Wheelchair With Sturdy X-frame Easy Folding Mechanism, Steel Chassis",ARCATRON MOBILITY,9999,6999.3,
22,"Arcatron Mobility Prime Self Propelled Shower Commode Wheelchair, Height Adjustable & Swivel Armrest",ARCATRON MOBILITY,46800,27144,
23,Teddyy Baby Diapers Pants Easy Small 42's,TEDDYY,399,339.15,"{'value': 4, 'count': 9}"
24,Accusure Lumbo Sacral Support - Xl,ACCUSURE,798,462.84,
25,Dexolac Premium Stage 1 Infant Formula (upto 6 Months) Tin Of 400 G,DEXOLAC,620,620,"{'value': 4.2173913043478, 'count': 23}"
26,Vicks Babyrub Soothing Balm Comfort For Babies Bottle Of 25 Ml,VICKS,105,95.55,"{'value': 4.5675675675676, 'count': 37}"
27,Johnson's Baby Shampoo No More Tears 50 Ml,JOHNSON'S,62,58.28,"{'value': 4.6666666666667, 'count': 54}"
28,Dermadew Baby Cream 80gm,DERMADEW,170,136,"{'value': 5, 'count': 3}"
29,Nestle Nangrow Nutritious Milk Drink For Growing Children Creamy Vanilla 400g,NESTLE,585,555.75,"{'value': 4.52, 'count': 50}"
30,Johnson's Baby Soap Blossoms 75grams,JOHNSON'S,68,65.28,"{'value': 4.4210526315789, 'count': 19}"
